reporter_area_label,year,value,value_millions
Azerbaijan,2022,1602.0,1.602
Argentina,2016,9986.0,9.986
Argentina,2017,9964.0,9.964
Argentina,2018,10394.0,10.394
Argentina,2019,11131.0,11.131
Argentina,2020,3097.0,3.097
Argentina,2021,460.0,0.46
Argentina,2022,7503.0,7.503
Argentina,2023,13979.108,13.979108
Argentina,2024,11358.793,11.358793
Australia,1995,3726.0,3.726
Australia,1996,4165.0,4.165
Australia,1997,4318.0,4.318
Australia,1998,4167.0,4.167
Australia,1999,4459.0,4.459
Australia,2000,4931.0,4.931
Australia,2001,4856.0,4.856
Australia,2002,4841.0,4.841
Australia,2003,4746.0,4.746
Australia,2004,5215.0,5.215
Australia,2005,5499.0,5.499
Australia,2006,5532.0,5.532
Australia,2007,5644.0,5.644
Australia,2008,5586.0,5.586
Australia,2009,5490.0,5.49
Australia,2010,5790.0,5.79
Australia,2011,5771.0,5.771
Australia,2012,6032.0,6.032
Australia,2013,6482.0,6.482
Australia,2014,6922.0,6.922
Australia,2015,7449.0,7.449
Australia,2016,8269.0,8.269
Australia,2017,8815.0,8.815
Australia,2018,9246.0,9.246
Australia,2019,9466.0,9.466
Australia,2020,1827.7,1.8277
Australia,2021,246.3,0.24630000000000002
Australia,2022,3694.4,3.6944
Australia,2023,7187.44,7.18744
Australia,2024,8270.93,8.27093
Bahamas,1995,3239.0,3.239
Bahamas,1996,3416.0,3.416
Bahamas,1997,3446.0,3.446
Bahamas,1998,3348.0,3.348
Bahamas,1999,3648.0,3.648
Bahamas,2000,4204.0,4.204
Bahamas,2001,4183.0,4.183
Bahamas,2002,4406.0,4.406
Bahamas,2003,4594.0,4.594
Bahamas,2004,5004.0,5.004
Bahamas,2005,4779.0,4.779
Bahamas,2006,4731.0,4.731
Bahamas,2007,4601.0,4.601
Bahamas,2008,4394.0,4.394
Bahamas,2009,4645.0,4.645
Bahamas,2010,5255.0,5.255
Bahamas,2011,5588.0,5.588
Bahamas,2012,5940.0,5.94
Bahamas,2013,6151.0,6.151
Bahamas,2014,6320.0,6.32
Bahamas,2015,6112.0,6.112
Bahamas,2016,6265.0,6.265
Bahamas,2017,6136.0,6.136
Bahamas,2018,6622.0,6.622
Bahamas,2019,7250.0,7.25
Bahamas,2020,1794.5,1.7945
Bahamas,2021,2101.0,2.101
Bahamas,2022,7000.7,7.0007
Bahrain,1995,2311.0,2.311
Bahrain,1996,1988.0,1.988
Bahrain,1997,2600.0,2.6
Bahrain,1998,2898.0,2.898
Bahrain,1999,3280.0,3.28
Bahrain,2000,3869.0,3.869
Bahrain,2001,4388.0,4.388
Bahrain,2002,4831.0,4.831
Bahrain,2003,4844.0,4.844
Bahrain,2004,5667.0,5.667
Bahrain,2005,6313.0,6.313
Bahrain,2006,7289.0,7.289
Bahrain,2007,7833.0,7.833
Bahrain,2008,8631.0,8.631
Bahrain,2009,8861.0,8.861
Bahrain,2010,11952.0,11.952
Bahrain,2011,6732.0,6.732
Bahrain,2012,8062.0,8.062
Bahrain,2013,9163.0,9.163
Bahrain,2014,10452.0,10.452
Bahrain,2015,9670.0,9.67
Bahrain,2016,10158.0,10.158
Bahrain,2017,11374.0,11.374
Bahrain,2018,12045.0,12.045
Bahrain,2019,11061.0,11.061
Bahrain,2020,1909.0,1.909
Bahrain,2021,3612.0,3.612
Bahrain,2022,9949.0,9.949
Armenia,2020,360.0,0.36
Armenia,2021,876.0,0.876
Armenia,2022,1666.0,1.666
Armenia,2023,2316.0,2.316
Armenia,2024,2208.0,2.208
Barbados,1995,927.0,0.927
Barbados,1996,957.0,0.957
Barbados,1997,990.0,0.99
Barbados,1998,1019.0,1.019
Barbados,1999,947.0,0.947
Barbados,2000,1078.0,1.078
Barbados,2001,1035.0,1.035
Barbados,2002,1021.0,1.021
Barbados,2003,1090.0,1.09
Barbados,2004,1273.0,1.273
Barbados,2005,1111.0,1.111
Barbados,2006,1102.0,1.102
Barbados,2007,1191.0,1.191
Barbados,2008,1165.0,1.165
Barbados,2009,1154.0,1.154
Barbados,2010,1197.0,1.197
Barbados,2011,1187.0,1.187
Barbados,2012,1053.0,1.053
Barbados,2013,1079.0,1.079
Barbados,2014,1079.0,1.079
Barbados,2015,1179.0,1.179
Barbados,2016,1227.0,1.227
Barbados,2017,1345.0,1.345
Barbados,2018,1356.0,1.356
Barbados,2019,966.0,0.966
Barbados,2020,545.8,0.5458
Barbados,2021,242.2,0.2422
Barbados,2022,897.6,0.8976000000000001
Barbados,2023,636.0459,0.6360458999999999
Barbados,2024,704.34,0.7043400000000001
Belgium,2020,2584.0,2.584
Belgium,2021,3243.0,3.243
Belgium,2022,8220.0,8.22
Belgium,2023,9280.0,9.28
Belgium,2024,9638.0,9.638
Bermuda,1995,557.0,0.557
Bermuda,1996,570.0,0.57
Bermuda,1997,562.0,0.562
Bermuda,1998,558.0,0.558
Bermuda,1999,549.0,0.549
Bermuda,2000,539.0,0.539
Bermuda,2001,458.0,0.458
Bermuda,2002,484.0,0.484
Bermuda,2003,483.0,0.483
Bermuda,2004,478.0,0.478
Bermuda,2005,517.0,0.517
Bermuda,2006,635.0,0.635
Bermuda,2007,660.0,0.66
Bermuda,2008,550.0,0.55
Bermuda,2009,554.0,0.554
Bermuda,2010,580.0,0.58
Bermuda,2011,652.0,0.652
Bermuda,2012,610.0,0.61
Bermuda,2013,576.0,0.576
Bermuda,2014,580.0,0.58
Bermuda,2015,597.0,0.597
Bermuda,2016,642.0,0.642
Bermuda,2017,688.0,0.688
Bermuda,2018,766.0,0.766
Bermuda,2019,805.0,0.805
Bermuda,2020,51.4,0.0514
Bermuda,2021,86.4,0.0864
Bermuda,2022,548.5,0.5485
Bolivia (Plurinational State of),2020,323.3,0.32330000000000003
Bolivia (Plurinational State of),2021,166.851,0.166851
Bolivia (Plurinational State of),2022,667.634,0.6676340000000001
Bolivia (Plurinational State of),2023,1009.247,1.009247
Bolivia (Plurinational State of),2024,991.184,0.991184
Botswana,1995,636.0,0.636
Botswana,1996,656.0,0.656
Botswana,1997,765.0,0.765
Botswana,1998,940.0,0.94
Botswana,1999,1039.0,1.039
Botswana,2000,1306.0,1.306
Botswana,2001,1451.0,1.451
Botswana,2002,1485.0,1.485
Botswana,2003,1592.0,1.592
Botswana,2004,1727.0,1.727
Botswana,2005,1684.0,1.684
Botswana,2006,1642.0,1.642
Botswana,2007,1965.0,1.965
Botswana,2008,2344.0,2.344
Botswana,2015,1660.0,1.66
Botswana,2016,1712.0,1.712
Botswana,2017,1775.0,1.775
Botswana,2018,1830.0,1.83
Botswana,2019,1555.4,1.5554000000000001
Botswana,2020,358.2,0.35819999999999996
Botswana,2021,338.0,0.338
Brazil,2020,2146.435,2.146435
Brazil,2021,745.871,0.745871
Brazil,2022,3630.031,3.630031
Brazil,2023,5908.341,5.908341
Brazil,2024,6773.619,6.773619
Belize,1995,342.0,0.342
Belize,1996,349.0,0.349
Belize,1997,305.0,0.305
Belize,1998,300.0,0.3
Belize,1999,340.0,0.34
Belize,2000,374.0,0.374
Belize,2001,385.0,0.385
Belize,2002,694.0,0.694
Belize,2003,999.0,0.999
Belize,2004,1329.0,1.329
Belize,2005,1037.0,1.037
Belize,2006,903.0,0.903
Belize,2007,880.0,0.88
Belize,2008,846.0,0.846
Belize,2009,941.0,0.941
Belize,2010,1054.0,1.054
Belize,2011,1106.0,1.106
Belize,2012,1028.0,1.028
Belize,2013,1022.0,1.022
Belize,2014,1289.0,1.289
Belize,2015,1299.0,1.299
Belize,2016,1391.0,1.391
Belize,2017,1441.0,1.441
Belize,2018,1697.0,1.697
Belize,2019,1674.0,1.674
Belize,2020,487.0,0.487
Belize,2021,437.0,0.437
British Virgin Islands,1995,365.0,0.365
British Virgin Islands,1996,412.0,0.412
British Virgin Islands,1997,365.0,0.365
British Virgin Islands,1998,392.0,0.392
British Virgin Islands,1999,484.0,0.484
British Virgin Islands,2000,519.0,0.519
British Virgin Islands,2001,535.0,0.535
British Virgin Islands,2002,544.0,0.544
British Virgin Islands,2003,614.0,0.614
British Virgin Islands,2004,813.0,0.813
British Virgin Islands,2005,821.0,0.821
British Virgin Islands,2006,825.0,0.825
British Virgin Islands,2007,948.0,0.948
British Virgin Islands,2008,934.0,0.934
British Virgin Islands,2009,857.0,0.857
British Virgin Islands,2010,842.0,0.842
British Virgin Islands,2011,831.0,0.831
British Virgin Islands,2012,753.0,0.753
British Virgin Islands,2013,742.0,0.742
British Virgin Islands,2014,773.0,0.773
British Virgin Islands,2015,922.0,0.922
British Virgin Islands,2016,1124.0,1.124
British Virgin Islands,2019,895.0,0.895
Brunei Darussalam,1995,498.0,0.498
Brunei Darussalam,1996,837.0,0.837
Brunei Darussalam,1997,643.0,0.643
Brunei Darussalam,1998,964.0,0.964
Brunei Darussalam,1999,967.0,0.967
Brunei Darussalam,2000,984.0,0.984
Brunei Darussalam,2001,840.0,0.84
Brunei Darussalam,2002,891.0,0.891
Brunei Darussalam,2003,944.0,0.944
Brunei Darussalam,2005,815.0,0.815
Brunei Darussalam,2006,836.0,0.836
Brunei Darussalam,2007,877.0,0.877
Brunei Darussalam,2016,4257.0,4.257
Brunei Darussalam,2017,4316.0,4.316
Brunei Darussalam,2018,4521.0,4.521
Brunei Darussalam,2019,4449.0,4.449
Brunei Darussalam,2020,1071.0,1.071
Brunei Darussalam,2021,110.0,0.11
Bulgaria,1995,8005.0,8.005
Bulgaria,1996,6811.0,6.811
Bulgaria,1997,7543.0,7.543
Bulgaria,1998,5240.0,5.24
Bulgaria,1999,5056.0,5.056
Bulgaria,2000,4922.0,4.922
Bulgaria,2001,5104.0,5.104
Bulgaria,2002,5563.0,5.563
Bulgaria,2003,6241.0,6.241
Bulgaria,2004,6982.0,6.982
Bulgaria,2005,7282.0,7.282
Bulgaria,2006,7499.0,7.499
Bulgaria,2007,7726.0,7.726
Bulgaria,2008,8533.0,8.533
Bulgaria,2009,7873.0,7.873
Bulgaria,2010,8374.0,8.374
Bulgaria,2011,8713.0,8.713
Bulgaria,2012,8867.0,8.867
Bulgaria,2013,9192.0,9.192
Bulgaria,2014,9409.0,9.409
Bulgaria,2015,9317.0,9.317
Bulgaria,2016,10604.0,10.604
Bulgaria,2017,11596.0,11.596
Bulgaria,2018,12368.0,12.368
Bulgaria,2019,12552.0,12.552
Bulgaria,2020,4973.0,4.973
Bulgaria,2021,7188.0,7.188
Bulgaria,2022,10888.0,10.888
Myanmar,2020,903.0,0.903
Myanmar,2021,131.0,0.131
Myanmar,2022,233.0,0.233
Myanmar,2023,1285.0,1.285
